"customer_id","product_id","sales_transaction_date","channel","dealership_id"
1,7,"2017-07-19 08:38:00",internet,
22,7,"2017-08-14 09:59:00",dealership,20
145,7,"2019-01-20 10:40:00",internet,
289,7,"2017-05-09 14:20:00",dealership,7
331,7,"2019-05-21 20:03:00",dealership,4
334,7,"2017-06-14 11:37:00",dealership,5
396,7,"2019-02-26 09:25:00",dealership,10
564,7,"2017-11-15 01:28:00",dealership,3
586,7,"2017-06-25 22:53:00",dealership,18
681,7,"2019-01-13 08:28:00",dealership,5
806,7,"2017-10-27 11:56:00",dealership,14
981,7,"2017-07-03 21:40:00",internet,
988,7,"2019-04-18 05:21:00",dealership,6
1039,7,"2016-10-19 22:17:00",dealership,1
1620,7,"2018-10-26 09:18:00",internet,
1698,7,"2017-07-12 01:07:00",internet,
1769,7,"2019-05-20 08:46:00",dealership,18
1889,7,"2017-10-29 23:51:00",internet,
2129,7,"2017-05-04 10:12:00",internet,
2405,7,"2017-06-07 22:49:00",internet,
2430,7,"2018-11-01 03:30:00",dealership,5
2463,7,"2017-12-03 16:48:00",internet,
2491,7,"2017-09-09 10:31:00",dealership,14
2519,7,"2017-03-27 00:44:00",dealership,7
2545,7,"2017-03-09 22:19:00",dealership,18
2777,7,"2018-06-02 10:49:00",dealership,1
2906,7,"2019-01-13 20:33:00",internet,
3142,7,"2017-05-20 20:06:00",internet,
3231,7,"2018-08-01 22:01:00",dealership,16
3433,7,"2019-05-17 13:56:00",dealership,1
3582,7,"2017-09-30 16:56:00",dealership,19
3609,7,"2017-08-01 21:11:00",dealership,3
3821,7,"2017-01-27 08:49:00",dealership,14
4366,7,"2017-12-27 01:11:00",dealership,4
4525,7,"2018-02-10 00:53:00",dealership,1
4554,7,"2017-12-31 12:54:00",dealership,2
4747,7,"2019-03-07 13:37:00",dealership,19
4827,7,"2018-05-13 11:17:00",dealership,9
5078,7,"2017-11-24 19:12:00",internet,
5143,7,"2018-11-01 07:32:00",dealership,1
5412,7,"2018-02-09 01:16:00",dealership,16
5416,7,"2018-10-25 11:21:00",internet,
5891,7,"2018-09-07 03:53:00",dealership,11
6143,7,"2019-03-16 05:08:00",dealership,4
6262,7,"2018-02-16 09:31:00",internet,
6413,7,"2017-12-16 06:46:00",dealership,18
6533,7,"2017-09-01 15:14:00",internet,
6867,7,"2017-02-26 17:45:00",internet,
7050,7,"2019-01-28 21:14:00",dealership,6
7195,7,"2017-06-10 07:55:00",internet,
